task_id,task_name,concept,execution_stream,phase,start,finish,critical,implementation_readiness,quality_score,implementation_summary,linked_playbooks,task_specific_tests,implementation_steps,authorizations,procurement_actions,long_lead_items,decision_points,field_lab_vendor_activities,contingencies,implementation_records,open_decisions,first_hold_point
S-0.1.b,Define Licensing Products & Scope (ESP/DC/COL/CP/OL/Topicals),Shared,"Cross-cutting  engineering, QA and program backbone",Orientation,2026-10-01,2026-12-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Define Licensing Products & Scope (ESP/DC/COL/CP/OL/Topicals) between 2026-10-01 and 2026-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Licensing Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FUEL-01; PB-MAT-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,5,3,5,1,3,1,3,5,4,HP-I1 implementation authorization
S-0.2.b,Implement Corrective Action Program (CAP) and Nonconformance Control,Shared,"Cross-cutting  engineering, QA and program backbone",Orientation,2026-10-01,2030-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Implement Corrective Action Program (CAP) and Nonconformance Control between 2026-10-01 and 2030-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Quality Assurance; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-SUPPLY-01; PB-TEST-01; PB-WASTE-01,,5,2,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-10.a,Project Execution Plan (PEP) & Controls Governance,Shared,"Cross-cutting  engineering, QA and program backbone",Project Controls,2026-10-01,2035-06-30,False,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Project Execution Plan (PEP) & Controls Governance between 2026-10-01 and 2035-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Project Controls; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-TEST-01,,5,2,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-GOV-01,"Establish Engineering Organization, Design Authority and Delegations",Shared,"Cross-cutting  engineering, QA and program backbone",Leadership and Governance,2026-10-01,2027-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Establish Engineering Organization, Design Authority and Delegations between 2026-10-01 and 2027-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Chief Nuclear Officer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,2,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-GOV-07,"Executive Technical Decision Rights, Escalation and Design-Use Concurrence Protocol",Shared,"Cross-cutting  engineering, QA and program backbone",Leadership and Governance,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Executive Technical Decision Rights, Escalation and Design-Use Concurrence Protocol between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Chief Nuclear Officer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,2,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-PKG-02,"QA, EDMS, Requirements and Digital Thread Toolchain",Shared,"Cross-cutting  engineering, QA and program backbone",Shared Platform Packages,2026-10-01,2038-12-31,False,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver QA, EDMS, Requirements and Digital Thread Toolchain between 2026-10-01 and 2038-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Data/Software Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-MAT-01; PB-SUPPLY-01; PB-TEST-01,,5,2,5,1,3,1,3,5,2,HP-I1 implementation authorization
S-PKG-04,"Program Controls, Schedule Risk and Independent Cost Reviews",Shared,"Cross-cutting  engineering, QA and program backbone",Shared Platform Packages,2026-10-01,2038-12-31,False,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Program Controls, Schedule Risk and Independent Cost Reviews between 2026-10-01 and 2038-12-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Fuel/Materials Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,2,1,1,3,1,3,5,2,HP-I1 implementation authorization
S-TECH-01,"Technology Strategy, R&D Portfolio and Integrated Technology Roadmap",Shared,"Cross-cutting  engineering, QA and program backbone",Technology Strategy,2026-10-01,2035-09-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Technology Strategy, R&D Portfolio and Integrated Technology Roadmap between 2026-10-01 and 2035-09-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Chief Technology Officer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-FUEL-01; PB-MAT-01; PB-MCA-01; PB-SUPPLY-01; PB-TEST-01,,5,2,1,1,3,1,3,5,4,HP-I1 implementation authorization
S-0.1.a,Regulatory Pathway Decision Analysis (Part 50 vs Part 52),Shared,"Cross-cutting  engineering, QA and program backbone",Orientation,2026-10-01,2027-03-31,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver Regulatory Pathway Decision Analysis (Part 50 vs Part 52) between 2026-10-01 and 2027-03-31 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Licensing Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,3,2,1,3,3,3,5,2,HP-I1 implementation authorization
S-0.1.f,"RACI, Interface Control & Governance",Shared,"Cross-cutting  engineering, QA and program backbone",Orientation,2026-10-01,2027-06-30,True,"Execution definition complete; task-specific facility, supplier, and final design inputs remain subject to the listed hold points.",100,"Deliver RACI, Interface Control & Governance between 2026-10-01 and 2027-06-30 through a controlled sequence of implementation authorization, input/facility readiness, technical execution, independent verification, and downstream handoff. The producing lead is Licensing Engineer; temporary laboratory, supplier, construction, or regulatory support is purchased only for defined products and acceptance evidence.",PB-SUPPLY-01; PB-TEST-01,,5,2,5,1,3,1,3,5,2,HP-I1 implementation authorization
