Task ID,Task,Concept,Route,Task Scope,Engineering Domain,Work Pattern,Start,Finish,Prior FTE-years,Revised FTE-years,Planned Labor Hours,Blended Loaded Rate ($000/FTE-year),Prior Labor Cost ($000),Revised Labor Cost ($000),External Engineering & Lab ($000),"Software, Compute & Data ($000)","Equipment, Materials & Fabrication ($000)","Facility, Test & Field Operations ($000)",Regulatory Review Fees ($000),"Legal, Hearing & Advisory ($000)",Travel & Field Support ($000),Other Direct ($000),Risk Allowance ($000),Prior Total Cost ($000),Revised Total Cost ($000),Allocated Program Package Share ($000),Fully Burdened Task View ($000),Low Estimate ($000),High Estimate ($000),Total Delta ($000),Total Change (%),Estimate Class,Estimate Method
D-LP2-01,"Demonstrator mission, DOE authorization strategy, and Launch Pad route decision",Demonstrator,doe_launchpad,demonstrator_authorization,project_controls,management_control,2026-10-01,2026-11-30,0.747792,0.897,1507.0,269.645,164.226183,241.871308,163.594687,18.177187,0.0,72.70875,0.0,72.70875,36.354375,1e-06,90.812259,480.351183,696.227317,0.0,696.227317,556.981853,1009.529609,215.876134,44.94,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-02,"NRIC/DOE engagement, eligibility package, and project selection support",Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,licensing_product,2026-10-15,2027-03-31,1.134864,1.362,2288.2,268.86,248.125766,366.187206,272.347312,30.260813,0.0,121.04325,0.0,121.04325,60.521625,0.0,145.710518,774.400766,1117.113974,0.0,1117.113974,893.69118,1619.815263,342.713208,44.26,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-03I,"Launch Pad INL parcel allocation, site data package, and INL services definition",Demonstrator,doe_launchpad,demonstrator_authorization,site_environmental,licensing_product,2026-11-01,2027-05-31,1.074816,1.29,2167.2,245.141,214.760678,316.231471,314.963437,34.995938,0.0,139.98375,0.0,139.98375,69.991875,0.0,152.422533,823.385678,1168.572754,0.0,1168.572754,934.858203,1694.430494,345.187076,41.92,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-03U,"Launch Pad USA host selection, due diligence, and authorization-interface definition",Demonstrator,doe_launchpad,demonstrator_authorization,site_environmental,licensing_product,2026-11-01,2027-06-30,1.394928,1.674,2812.3,244.142,277.754918,408.693958,414.98325,46.10925,0.0,184.437,0.0,184.437,92.2185,0.0,199.631844,1079.654918,1530.510802,0.0,1530.510802,1224.408641,2219.240662,450.855884,41.76,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-04,"DOE/host contract, intellectual-property, liability, and shared-services agreement",Demonstrator,doe_launchpad,demonstrator_authorization,project_controls,management_control,2027-01-01,2027-09-30,0.68472,0.822,1381.0,303.038,164.099001,249.097117,282.128062,31.347562,0.0,125.39025,0.0,125.39025,62.695125,1e-06,131.407255,709.274001,1007.455622,0.0,1007.455622,805.964498,1460.810652,298.181621,42.04,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-05,"DOE nuclear-safety strategy, hazard categorization, and authorization-basis architecture",Demonstrator,doe_launchpad,demonstrator_authorization,safety_analysis,analysis_model,2026-10-15,2027-04-30,1.283472,1.54,2587.2,253.361,264.889786,390.175665,364.624031,40.513781,0.0,162.055125,0.0,162.055125,81.027563,0.0,180.067693,969.477286,1380.518984,0.0,1380.518984,1104.415187,2001.752526,411.041698,42.4,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-06,"Preliminary and final documented safety analysis, hazard controls, and technical safety requirements",Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,licensing_product,2027-01-01,2028-06-30,3.330288,3.996,6713.3,252.825,686.231828,1010.287184,528.919875,58.768875,0.0,235.0755,0.0,235.0755,117.53775,0.0,327.849703,1754.756828,2513.514387,0.0,2513.514387,2010.811509,3644.595861,758.757559,43.24,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-07,"NEPA strategy, environmental review, permits, and stakeholder interfaces",Demonstrator,doe_launchpad,demonstrator_authorization,site_environmental,licensing_product,2026-11-01,2027-12-31,1.06488,1.278,2147.0,238.582,205.977254,304.907988,461.208937,51.245438,0.0,204.98175,0.0,204.98175,102.490875,0.0,199.472511,1097.202254,1529.289249,0.0,1529.289249,1223.431399,2217.469411,432.086995,39.38,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-08,"Graded QA, configuration management, procurement, software, and records program",Demonstrator,doe_launchpad,demonstrator_authorization,quality_configuration,management_control,2026-10-15,2027-06-30,0.99144,1.19,1999.2,216.627,174.917319,257.786667,326.840062,36.315562,0.0,145.26225,0.0,145.26225,72.631125,1e-06,147.614688,806.492319,1131.712605,0.0,1131.712605,905.370084,1640.983277,325.220286,40.33,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-09,"Nuclear material control, safeguards, physical security, emergency management, and transportation strategy",Demonstrator,doe_launchpad,demonstrator_authorization,quality_configuration,operations_program,2027-01-01,2028-03-31,1.172448,1.407,2363.8,249.254,236.913983,350.700193,396.819,44.091,0.0,176.364,0.0,176.364,88.182,0.0,184.878029,1003.713983,1417.398222,0.0,1417.398222,1133.918578,2055.227422,413.684239,41.22,Licensing planning estimate,Bottom-up activity-based estimate by work package
